Review,Preprocessed_Review,Sentiment
"In our recent visit to India, we learnt about Abacus concept and Mental Math; contacted Math-Genie program in the US. The team, monitored and led by Ms. Regina is extraordinary and are very courteous.

We've enrolled our daughter (Nitya, a second grader) in Math Genie Math and most recently in the Reading  as well. She's doing very well in Math and we're optimistic  in Reading too.

The staff members (North Brunswick location) are fantastic, always carries the smiley face and discusses the progress at the end of each class!!

Thankyou Math-Genie",recent visit india learnt abacus concept mental math contacted program us team monitored led regina extraordinary courteous enrolled daughter nitya second grader math genie math recently reading well well math optimistic reading staff members north brunswick location fantastic always carries smiley face discusses progress end class thankyou,Positive
"Math Genie has helped my kid a lot in terms of his vocabulary and math. Analytical skills have improved a lot and my kid is now able to relate the phonics and trying to spell every word. He's also able to do mental math very well. Thank You Math Genie, we are glad to have you.",math genie helped kid lot terms vocabulary math analytical skills improved lot kid able relate phonics trying spell every word also able mental math well thank math genie glad,Positive
"Math Genie always has very good  teachers we see excellent improvement in my son's math solving technic and speed,  we are extremely happy  and thankful to Math Genie and will recommend it to all parents.",math genie always good teachers see excellent improvement son math solving technic speed extremely happy thankful math genie recommend parents,Positive
Reading Genie made my child a really successful in school and for life he also got in  English honors and is getting A on his report cards. Thank you Reading,reading genie made child really successful school life also got english honors getting report cards thank reading,Positive
"Teachers are really very attentive and give personal attention to every student. They are very approachable and work on any concerns or issues with the student and ensures that the issues are resolved. They being very approachable makes it very easy for me as a parent, to discuss any observations and they are extremely willing and happy to work with the child.",teachers really attentive give personal attention every student approachable work concerns issues student ensures issues resolved approachable makes easy parent discuss observations extremely willing happy work child,Positive
Excellent teaching for Abacus Technic..!! I realized my son and how he has improved past 1 yr..,excellent teaching abacus technic realized son improved past 1 yr,Positive
Math genie has some of the best teachers who work really hard with the kids. They customize the program to make it work for your child and make every effort to help them with their weak areas. My daughter has been going there for almost 5 years now and I'm highly satisfied with their program and the faculty.,math genie best teachers work really hard kids customize program make work child make every effort help weak areas daughter going almost 5 years highly satisfied program faculty,Positive
"Math genie has been a great resource for my son.  I have seen a tremendous improvement in his math and reading skills.  He is going to first grade and I can confidently say is ready and probably ahead of his school requirements.  Ms stephenie , his math teacher and Ms Roxy his reading teacher has been amazing and I definitely recommend their class.",math genie great resource son seen tremendous improvement math reading skills going first grade confidently say ready probably ahead school requirements ms stephenie math teacher ms roxy reading teacher amazing definitely recommend class,Positive
Great experience with patient and caring teachers who encourage and challenge the kids to do their best work and grow their confidence.,great experience patient caring teachers encourage challenge kids best work grow confidence,Positive
Like all parents you want the best for your children & with Math Genie you'll find ur kids growing up with essential skills needed in math. Going great!,like parents want best children math genie find ur kids growing essential skills needed math going great,Positive
"Good environment and friendly teachers, every one of them have great experience and talk to the parents in great attention about our kids ups and downs.  Other non-teaching staff is also very helpful.  My kid like to go there so much.",good environment friendly teachers every one great experience talk parents great attention kids ups downs staff also helpful kid like go much,Positive
"Nice staff, great environment and most important Excellent Teachers who take extra steps and effort on students...this has helped my child in pulling up a long way...",nice staff great environment important excellent teachers take extra steps effort students helped child pulling long way,Positive
Kids enjoy and learn.. teachers are good ..,kids enjoy learn teachers good,Positive
"Mathgenie is awesum and helped my son to have skills and challenges which he loves

Meghan is great teacher and awesum best 👍",mathgenie awesum helped son skills challenges loves meghan great teacher awesum best,Positive
"my 4 year old son has been taking classes for about a year now... i am very impressed with his ability to perform addition and subtraction so easily! the teachers are great about incorporating movement during active rest breaks to keep his attention and interest. he is so excited to show me the new things he has learned in class and takes pride in being a ""math genie""!!",4 year old son taking classes year impressed ability perform addition subtraction easily teachers great incorporating movement active rest breaks keep attention interest excited show new things learned class takes pride math genie,Positive
Math Genie teaches a great way to learn math. My child has started loving math after going there. Addition and Subtraction is great fun using the abacus. Teachers are very helpful and encouraging. I would recommend it to all my friends.,math genie teaches great way learn math child started loving math going addition subtraction great fun using abacus teachers helpful encouraging would recommend friends,Positive
"We have started going to Math Genie since last 8 weeks. Teachers are very professional and accommodating. After each session they come out and review with the parent about  child's performance. My son, who is 8 years old, has already started showing significant improvement in reading/ writing. He has become more responsible and diligent. Most importantly enjoys going to Math Genie immensely. All teachers are good, and they love what they do. Ms. Erin, Ms. Vivian and Ms. Stephanie teach my son on a regular basis and both I and my wife think highly of them. My son does total 4 hours of tutoring back to back and  so far has not complained a bit about long hours. They have options of one or two hour tutoring as well. We truly feel lucky to have found Math Genie and are excited to begin with school year.",started going math genie since last 8 weeks teachers professional accommodating session come review parent child performance son 8 years old already started showing significant improvement writing become responsible diligent importantly enjoys going math genie immensely teachers good love erin vivian stephanie teach son regular basis wife think highly son total 4 hours tutoring back back far complained bit long hours options one two hour tutoring well truly feel lucky found math genie excited begin school year,Positive
My daughter enjoys class and has learned so much.,daughter enjoys class learned much,Positive
Math Genie has helped Monica succeed in school,math genie helped monica succeed school,Positive
My son enjoys about math class with Math-Genie. I would like to say thank Math-genie !,son enjoys math class would like say thank,Positive
My son has been going to Math Genie for 2 years now. I have seen an improvement with his confident in math class at his school. He especially loves doing mental math! He has been placed in the high level math class and I believe Math Genie has played a role in it. Ms. Megyn is awesome!,son going math genie 2 years seen improvement confident math class school especially loves mental math placed high level math class believe math genie played role megyn awesome,Positive
My daughter has been enrolled in Math Genie for Maths & Reading for about 5 years now. Going to Math Genie instilled confidence in her and helped her improve with her weaker areas. The teachers & management are fully dedicated and responsive. They go the extra mile to address your concerns and make sure that kids enjoy learning. I am fully satisfied with the daughter’s progress & I am thankful to Math Genie for her achievements.,daughter enrolled math genie maths reading 5 years going math genie instilled confidence helped improve weaker areas teachers management fully dedicated responsive go extra mile address concerns make sure kids enjoy learning fully satisfied daughter progress thankful math genie achievements,Positive
"Good program and well designed class room and home work, is the best part of Math Genie ! My son loves doing mental and we do see a great improvement with his maths skills. Miss Meghan is awesome !!",good program well designed class room home work best part math genie son loves mental see great improvement maths skills miss meghan awesome,Positive
"We registered at Mathegenie recently after visiting similar study centers.  The biggest plus is class duration which is of two hrs. This provides enough time for my son to get settled in class, understand and digest concepts. Immediate feedback after each class and quick resolution of queries is big plus. The study material is at par for both Reading Genie and Math Genie. Thanks team for great learning experience.

September 2017 Update

The Math Genie and Reading Genie program for my son going good. He continues his interest.",registered mathegenie recently visiting similar study centers biggest plus class duration two hrs provides enough time son get settled class understand digest concepts immediate feedback class quick resolution queries big plus study material par reading genie math genie thanks team great learning experience september 2017 update math genie reading genie program son going good continues interest,Positive
Excellent place for kids to learn. I strongly recommend.,excellent place kids learn strongly recommend,Positive
"Staff is genuinely interested in student development, and are reasonable and flexible. Teacher is capable, passionate, and effective. Other benefit is students meet others in a fun yet structured setting. Overall we are pleased with how much our child is learning .",staff genuinely interested student development reasonable flexible teacher capable passionate effective benefit students meet others fun yet structured setting overall pleased much child learning,Positive
My daughter is going from last 2 years and it turn out to be the best dicison we made for her. She is more confident in her Math and Reading and it progresses day by day.,daughter going last 2 years turn best dicison made confident math reading progresses day day,Positive
"Hi,
We r very Happy to say that,our kid is a part of mathgenie.she us doing great now.excellent work.",hi r happy say kid part us great work,Positive
Excellent experience my daughter Happy and learn well,excellent experience daughter happy learn well,Positive
Math Genie has helped my kid achieve exceptional levels of educational excellence,math genie helped kid achieve exceptional levels educational excellence,Positive
"Excellent instructors, proven results.",excellent instructors proven results,Positive
Ms. Megan is great and is very helpful in explaining the concepts to children.,megan great helpful explaining concepts children,Positive
"My son had joined Math Genie 7 months back at their East Brunswick location.

He has shown decent command on working with Abacus.
He has scored 98 percentile in his Senior Genie 1 exam and has proceeded to Senior Genie 2 level in such a short span of time.

Also for common core, he is way ahead from his class curriculum.

All thanks to Mrs. Tricia for the efforts she has  put in.

Vikram Bhatia",son joined math genie 7 months back east brunswick location shown decent command working abacus scored 98 percentile senior genie 1 exam proceeded senior genie 2 level short span time also common core way ahead class curriculum thanks tricia efforts put vikram bhatia,Positive
"We have been attending Math Genie for the past few years and the experience has been amazing. The staff is beyond exceptional, from the teaching techniques down to how they interact with our kids. We have 3 children and have placed them all in classes at Math Genie. The confidence they have in school is amazing. They are well ahead of the curve when it comes to what is being taught in school, thanks to the great teaching at Math Genie. We highly recommend any parent, who wishes to give their kids a leg up and strong fundamental backing into today's education, do try this place. It's made a world of difference in our kids.",attending math genie past years experience amazing staff beyond exceptional teaching techniques interact kids 3 children placed classes math genie confidence school amazing well ahead curve comes taught school thanks great teaching math genie highly recommend parent wishes give kids leg strong fundamental backing today education try place made world difference kids,Positive
We are glad to see our son's progress in a very short time and his liking towards math is growing day by day.,glad see son progress short time liking towards math growing day day,Positive
they have a very good learning system and also a great books with pictures so it helps kids to enjoy more.,good learning system also great books pictures helps kids enjoy,Positive
"My son and daughter going to math genie for about five months. Teachers  are there so nice and helpful.
I see improvements in my kids.",son daughter going math genie five months teachers nice helpful see improvements kids,Positive
"My son has been attending Math Genie since he was about to turn five years old. He is currently in second grade and is academically above his grade level. Both his teachers and peers comment on his advanced math skills ability. Attending Math Genie has also provided him with a growth mindset of the importance of perseverance, challenges, and the implications of hard work. I plan on having him attend Math Genie until he ages out of the program. The teachers and staff are also incredibly friendly and flexible with his ever changing schedule. All of the teachers within the program have degrees in education, or, are even attending graduate school for education, counseling, or school psychology.",son attending math genie since turn five years old currently second grade academically grade level teachers peers comment advanced math skills ability attending math genie also provided growth mindset importance perseverance challenges implications hard work plan attend math genie ages program teachers staff also incredibly friendly flexible ever changing schedule teachers within program degrees education even attending graduate school education counseling school psychology,Positive
The teacher is really helpful. They understand the kid problem and focus on that.,teacher really helpful understand kid problem focus,Positive
We’ve had a great expiriance.  Our kids are very prepared and confident in their Math class.,great expiriance kids prepared confident math class,Positive
"My son has been attending Math Genie since he was about to turn five years old. He is currently in second grade and is academically above his grade level. Both his teachers and peers comment on his advanced math skills ability. Attending Math Genie has also provided him with a growth mindset of the importance of perseverance, challenges, and the implications of hard work. I plan on having him attend Math Genie until he ages out of the program. The teachers and staff are also incredibly friendly and flexible with his ever changing schedule. All of the teachers within the program have degrees in education, or, are even attending graduate school for education, counseling, or school psychology.",son attending math genie since turn five years old currently second grade academically grade level teachers peers comment advanced math skills ability attending math genie also provided growth mindset importance perseverance challenges implications hard work plan attend math genie ages program teachers staff also incredibly friendly flexible ever changing schedule teachers within program degrees education even attending graduate school education counseling school psychology,Positive
"My kids are breezing thru school. Because of Math Genie, my kids are able to do more work in a fraction of the time!",kids breezing thru school math genie kids able work fraction time,Positive
My son has learned a lot from them. Great teacher!,son learned lot great teacher,Positive
I am really impressed by this institute . The teachers are efficient and very cooperative . They analyse the students well since all the teachers are coming from teaching backgrounds  they understand your child's strengths and weaknesses.I would definitely recommend this place.,really impressed institute teachers efficient cooperative analyse students well since teachers coming teaching backgrounds understand child strengths would definitely recommend place,Positive
So far I only have great things to say about Math Genie. Both my children have learned so much since beginning these classes. My daughter was able to develop  a strong foundation of mathematics that will benefit her for the rest of her life. She is more secure about her skills and knowledge at school. The teachers only have wonderful things to say about her and her work ethic. My son is just starting but I can’t wait to see him improvement. He will be the true test of Math and Reading Genie. Having speech delays unfortunately set us back and I’m trying to get him up to par with the rest of his class mates.,far great things say math genie children learned much since beginning classes daughter able develop strong foundation mathematics benefit rest life secure skills knowledge school teachers wonderful things say work ethic son starting wait see improvement true test math reading genie speech delays unfortunately set us back trying get par rest class mates,Positive
Math Genie is awesome. Its been a couple of months since my daughter started the program and she has already begun double digit addition and subtraction. Ms. Meghan is a great teacher and always takes time to discuss about your kid's progress after class.,math genie awesome couple months since daughter started program already begun double digit addition subtraction meghan great teacher always takes time discuss kid progress class,Positive
"The best investment for my son so far.  He likes it and I love it. It's a win win situation. The teachers are great and always open for feedback. Recently, he joins reading genie. He loves it even more. He can't wait to finish his homework and sometimes finishes them in class.
Updated: Well, everything about math genie are fantastic. The owners, the teachers, the staffs, and definitely the program. Really nothing to lose! You've gotta try it to see it. Still enroll my son after 4 years and now my daughter is starting to shine:)
2nd update: Now you can tell that I really love this place. I have nothing more to say. Still one of the best place to intrigue your child’s brain with its abacus program.",best investment son far likes love win win situation teachers great always open feedback recently joins reading genie loves even ca wait finish homework sometimes finishes class updated well everything math genie fantastic owners teachers staffs definitely program really nothing lose got ta try see still enroll son 4 years daughter starting shine 2nd update tell really love place nothing say still one best place intrigue child brain abacus program,Positive
Both my kids are attending math genie and are both really improving a lot in their classes. The instructors are very open to the children reviewing school topics with them and I'm seeing quite an improvement. The classes are also very small so the children enjoy a lot of individual instruction from the instructor as well.,kids attending math genie really improving lot classes instructors open children reviewing school topics seeing quite improvement classes also small children enjoy lot individual instruction instructor well,Positive
Our daughter loves math and reading. This program has accelerated her learning. She's comfortable and they  move at her pace. Our older son went there years ago. Its a great program and i would recommend it.,daughter loves math reading program accelerated learning comfortable move pace older son went years ago great program would recommend,Positive
"My daughter goes for both Math and English. Its just been a couple of months that she has joined and since then i see improvement in her spellings and she has learned new things which she din't learn at school or home. Doing mental math with Abacus is a great skill but needs to be practiced daily,They also teach core curiculum in Math. I would strongly recommend Math genie for both English and Math Especially as learning new Skills helps improve Memory.",daughter goes math english couple months joined since see improvement spellings learned new things di learn school home mental math abacus great skill needs practiced daily also teach core curiculum math would strongly recommend math genie english math especially learning new skills helps improve memory,Positive
I highly recommend this program to anyone with children who are already gifted or struggling with math. Math becomes more concrete and fun with their multi-sensory approach. Both my children score exceptionally high on their NY gifted and talented exams. I believe participating in the Math Genie program set them up to do well on this exam and in the public school classroom. Both kids are addicted to learning. Thanks MG!,highly recommend program anyone children already gifted struggling math math becomes concrete fun approach children score exceptionally high ny gifted talented exams believe participating math genie program set well exam public school classroom kids addicted learning thanks mg,Positive
My kids like this class and learns number quickly. Thanks to her teacher for helpful and friendly to my daughter. Attention they give to each student  is really good and they stick to policy of max 5 kids per class. which is the best when compare to other institutes where we tried before coming to  MathGenie.,kids like class learns number quickly thanks teacher helpful friendly daughter attention give student really good stick policy max 5 kids per class best compare institutes tried coming mathgenie,Positive
"Improvement in Confidence, Set higher goals and targets to achieve them.Thanks to the team!",improvement confidence set higher goals targets achieve team,Positive
"Best place for kids to learn basic. When we took our kids to other centers for Math / Reading. We haven't find this much satisfaction and best part is the stick on 5 kids per class and making sure as the kids are in same group of their study level, no mix and match with different age group.",best place kids learn basic took kids centers math reading find much satisfaction best part stick 5 kids per class making sure kids group study level mix match different age group,Positive
Great center,great center,Positive
Math Genie helped us to keep our son motivated doing study. Progress tests at regular intervals help’s us to know progress of our son. Teachers are awesome and keep parents well informed. Thanks Math-Genie!!!,math genie helped us keep son motivated study progress tests regular intervals help us know progress son teachers awesome keep parents well informed thanks,Positive
I was worried my 6-years-old could not focus in the class. Math Genie has kept my son interested in his Math classes and he doesn’t want to miss any of them. I especially like the Common Core books. He has attended Math Genie couple months and he is fast doing math but the word problems. Ms. Cassandra has noticed my son's weakness and hopefully to see more improvement of his reasoning in word problems.,worried could focus class math genie kept son interested math classes want miss especially like common core books attended math genie couple months fast math word problems cassandra noticed son weakness hopefully see improvement reasoning word problems,Positive
5 Star. Teacher pay attention to individual students. I like the way the teachers give the feedback after the class. Very professional.,5 star teacher pay attention individual students like way teachers give feedback class professional,Positive
"Math genie is an excellent place for the kids. Wonderful teacher's and staff, my 7 year old son enjoys every class and always eager to come. He is going there since he was toddler and now he is has become genie of math. Highly recommended to start this from early age, this is the place that shows math becomes fun.",math genie excellent place kids wonderful teacher staff 7 year old son enjoys every class always eager come going since toddler become genie math highly recommended start early age place shows math becomes fun,Positive
My kids love going to Math Genie.  The teachers are very friendly.... and kids love them.,kids love going math genie teachers friendly kids love,Positive
"Really helped my son with math and reading. I like the homework part, it helps me to see his progress. Teachers are nice and patient.",really helped son math reading like homework part helps see progress teachers nice patient,Positive
Math genie is exactly what I was looking for my son!  He used to go to Kumon earlier and was getting tired of the repetitive learning style. He is in 2nd grade and the math & reading classes have tremendously helped him all around. He has straight A's in all subjects at school. Ms. Kavita and Ms. Mahalia are one of the best teachers at this location. Thank you Math Genie!,math genie exactly looking son used go kumon earlier getting tired repetitive learning style 2nd grade math reading classes tremendously helped around straight subjects school kavita mahalia one best teachers location thank math genie,Positive
This is great place to learn and teachers have been par excellence in nuture the kids in right direction in English learning and reading.,great place learn teachers par excellence nuture kids right direction english learning reading,Positive
Exelent experience,exelent experience,Positive
"When my daughter began attending classes in September with Miss Tiffany, she did not know her basic math facts, and did not like math at all because she thought she was lousy at it.  After about a month, I saw a big improvement in her confidence level, as well as her math grades.  Mid January, she was able to switch to a more advanced class with Miss Jenna, and I could not be happier.",daughter began attending classes september miss tiffany know basic math facts like math thought lousy month saw big improvement confidence level well math grades mid january able switch advanced class miss jenna could happier,Positive
Its a great program and I will definitely recommend it to anyone who wants their kids to perform better. Ms. Kim is a great teacher and always takes time to discuss about my kid's progress after each class. My kid enjoys the class.,great program definitely recommend anyone wants kids perform better kim great teacher always takes time discuss kid progress class kid enjoys class,Positive
Ms. Sadia is a wonderful instructor.,sadia wonderful instructor,Positive
My daughter has been going to math genie for over 6 months and I am very happy with the results. They care a lot about their students and help make learning fun. The material is quite strong and the teachers are very good.,daughter going math genie 6 months happy results care lot students help make learning fun material quite strong teachers good,Positive
My kid loves going to Math Genie and I see that the teachers are genuine and very approachable.,kid loves going math genie see teachers genuine approachable,Positive
Math Genie has been incredible in helping our son develop his math and problem solving skills. He’s gone to both the south plainfield and east brunswick centers and the teachers and staff have been great at both sites.  We highly recommend Math Genie!!,math genie incredible helping son develop math problem solving skills gone south plainfield east brunswick centers teachers staff great sites highly recommend math genie,Positive
"I have been sending my daughter here for the past 2 years and ever since she has been getting better in math as well as writing and reading. The staff here is also very nice and helped my child with her weaknesses as well as her schoolwork. I would recommend this to people who children are struggling in school with there grades and just so they are always prepared with math, writing, and reading.",sending daughter past 2 years ever since getting better math well writing reading staff also nice helped child weaknesses well schoolwork would recommend people children struggling school grades always prepared math writing reading,Positive
Great program... mathginne program excellent work and great teachers .. I can see my child improved in reading and writing and he loves  to go there. I also loves it . I like customer service also ...,great program mathginne program excellent work great teachers see child improved reading writing loves go also loves like customer service also,Positive
"Math genie elevates the kid to the next level in a very short period of time. Ms. Cassandra has put her best efforts on my son, who has special needs and helped tremendously in improving his handwriting.",math genie elevates kid next level short period time cassandra put best efforts son special needs helped tremendously improving handwriting,Positive
"My child has been going to Math Genie since he was 3 1/2. He is doing very well in school. He is 7 now. We have moved to Manhattan, he got admission in a top private school. He still comes for his math & reading class every weekend. Math Genie has helped him a lot.",child going math genie since 3 well school 7 moved manhattan got admission top private school still comes math reading class every weekend math genie helped lot,Positive
Our kid has been able to cover things that he was lacking in school and that shows in his confidence as well as the grades in the school. The teacher emphasizes many aspects (e.g. handwriting) that are not a focus in school. In the end the extra work and practice (in addition to school work) is compensating for the lack of homework from school and giving the kid another chance to learn.,kid able cover things lacking school shows confidence well grades school teacher emphasizes many aspects handwriting focus school end extra work practice addition school work compensating lack homework school giving kid another chance learn,Positive
"My 8 year old daughter loves this place. I sent my daughter here for more than 2 years for reading and writing in English, She picked up a lot and is ahead of others . Her spellings and writing improved in English.
Thanks,
Chandrika",8 year old daughter loves place sent daughter 2 years reading writing english picked lot ahead others spellings writing improved english thanks chandrika,Positive
"Teachers are experienced, encouraging and focused on curriculum.",teachers experienced encouraging focused curriculum,Positive
"My daughter was not having any noticeable problems in school until the summer before she was about to begin second grade.  A few weeks before school started, I noticed that she lacked a strong foundation in terms of reading comprehension and math.  Although she read really well, she struggled to comprehend.

As expected, when school started, I got a letter stating that she needed help with basic skills.  Always wanting to do my part, I immediately searched the internet for tutoring services-making sure I avoided the big name places.  Math Genie caught my attention.

I filled out an on-line inquiry and was contacted the same evening.  I brought her in for assessments the same week.  Angela was great with sitting down and explaining to me her levels and a individualized path to success.

I love Math Genie because they start with basics that our current educational system overlooks.  I appreciate the small class sizes and materials used.  My daughter's confidence has increased and I can see academic improvements all around.  Additionally, the prices won't break the bank.",daughter noticeable problems school summer begin second grade weeks school started noticed lacked strong foundation terms reading comprehension math although read really well struggled comprehend expected school started got letter stating needed help basic skills always wanting part immediately searched internet tutoring sure avoided big name places math genie caught attention filled inquiry contacted evening brought assessments week angela great sitting explaining levels individualized path success love math genie start basics current educational system overlooks appreciate small class sizes materials used daughter confidence increased see academic improvements around additionally prices wo break bank,Positive
"My son started going to Math genie about 2 months ago and he has already learned so much.  When we first started, my son felt welcomed, as everyone was very friendly.  My son was quickly eager to start and still continues to show that eagerness to attend.  As a parent,  I love that they really know my son.  The class sizes are small enough for the teachers to spend one on one time with each child.   My child's teacher is very sweet.  My son loves her.  She allows him to be himself.  After each class, I get feedback on how he did and what he needs to work on.  After only attending for a short time, I already see progress in my son and his high interest in learning how to read and write.  This program will definitely move my child up ahead for school! I love the staff and highly recommend this program!",son started going math genie 2 months ago already learned much first started son felt welcomed everyone friendly son quickly eager start still continues show eagerness attend parent love really know son class sizes small enough teachers spend one one time child child teacher sweet son loves allows class get feedback needs work attending short time already see progress son high interest learning read write program definitely move child ahead school love staff highly recommend program,Positive
great place to start early education. Nice staff and experienced teachers. i am happy to send my 6 year old son here.,great place start early education nice staff experienced teachers happy send 6 year old son,Positive
"Two of my children take math classes with Ms.Sosnowski. She is patient, understanding, knowledgeable, and a great resource for our kids! We couldn't be happier with our teacher!!",two children take math classes patient understanding knowledgeable great resource kids could happier teacher,Positive
An enhancement for kids to learn and uplift their hidden skills. My son enjoys the classes,enhancement kids learn uplift hidden skills son enjoys classes,Positive
We are sending our Son and daughter to MathGenie from Feb 18. My son improved a lot in English and Math. I am able to see the difference in his studies before and now. He is trying to read on his own. Seeing the difference in his math too. My daughter is loving to do the home work on her own as the material is Good and innovative. The staff is very friendly and providing them the support. We are very happy with our decision for choosing MathGenie for my Kids. Thanks Staff and Management.,sending son daughter mathgenie feb 18 son improved lot english math able see difference studies trying read seeing difference math daughter loving home work material good innovative staff friendly providing support happy decision choosing mathgenie kids thanks staff management,Positive
My kid is a third grader attending Reading and Writing here.He is improved in his academic.The teacher is very helpful to all kids.She review his performance at every  class at the end which is very good and she pays personal attention to all kids on their individual difficulty in subject.Great!The only concern is if they have more workbook for class work and homework that would be better.,kid third grader attending reading writing improved teacher helpful review performance every class end good pays personal attention kids individual difficulty concern workbook class work homework would better,Positive
My daughter enjoyed to go there weekly.,daughter enjoyed go weekly,Positive
"My both kids (2nd grade) have been going to Math Genie for almost one year now for english class, and I see lot of improvement with their english reading and writing. The teachers are amazing here. I would definitely recommend  Math Genie to everyone.",kids 2nd grade going math genie almost one year english class see lot improvement english reading writing teachers amazing would definitely recommend math genie everyone,Positive
My 6yrs old son has shown lot of improvement ever since he has joined math genie. The teachers are very nice and patient and the teaching method is also very good.,6yrs old son shown lot improvement ever since joined math genie teachers nice patient teaching method also good,Positive
The staff is professional. They are patient and kind with the children. They are positive and encourage the children to do their best. I would definitely recommend their services to any parents looking for extra help with their Children's school work.,staff professional patient kind children positive encourage children best would definitely recommend services parents looking extra help children school work,Positive
"Great place for kids to grow there intellect. My son is attending the English class with Ms Kim/Vivian, and has improved a lot both in the writing as well as the comprehension skills.",great place kids grow intellect son attending english class ms improved lot writing well comprehension skills,Positive
Excellent teachers who update parents every time. My son's math improved a lot. Thank you!,excellent teachers update parents every time son math improved lot thank,Positive
Good place to learning mathematics from basics.,good place learning mathematics basics,Positive
I am impressed with the pattern followed by Math Genie.The staff is so co-operative and supportive and provide feedback.We have seen improvement in our child.we are very happy  with the way how Math Genie has taken care of our kid.,impressed pattern followed math staff supportive provide seen improvement happy way math genie taken care kid,Positive
Has very good experience with education. Helps kids out and teaches them the right way to read and write. Helps the kids with their math skills.,good experience education helps kids teaches right way read write helps kids math skills,Positive
"The reading program is readly good, and my child is getting better at reading and writing!",reading program readly good child getting better reading writing,Positive
My 5 year old daughter loves going there. I see her math and reading skills are progressing well with the help of Michelle. Thank you!!!,5 year old daughter loves going see math reading skills progressing well help michelle thank,Positive
"Her current reading teacher, Ms. Kim, is very attentive, knowledgeable and passionate, it's also a great that she works well with my daughter.",current reading teacher kim attentive knowledgeable passionate also great works well daughter,Positive
Helped my son a lot to improve his math.,helped son lot improve math,Positive
"I certainly recommend Math Genie to other parents. My kid has shown significant improvements with her math and reading skills moreover i beleive every kid should learn to use the abacus tool. The teachers here are very professional, caring and really good at their job. Unlike other institutions, kids get more focused attention with a lower teacher to kid ratio and their curriculam for each grade is quite comprehensive.",certainly recommend math genie parents kid shown significant improvements math reading skills moreover beleive every kid learn use abacus tool teachers professional caring really good job unlike institutions kids get focused attention lower teacher kid ratio curriculam grade quite comprehensive,Positive
My daughter goes to math gene reading program since 7 Months and I can see a great improvement in her  English  reading and writing . Becoz of this her Confidence is improving too . Thank you so much  Neha teacher and entire math gene team for ur hard work. I m very happy with math gene.,daughter goes math gene reading program since 7 months see great improvement english reading writing becoz confidence improving thank much neha teacher entire math gene team ur hard work happy math gene,Positive
Math Genie really advanced my child's mathematical ability to higher level gradually increasing the speed. Math Genie staff are very dedicated and supportive. Overall I am getting a good experience....Thanks!,math genie really advanced child mathematical ability higher level gradually increasing speed math genie staff dedicated supportive overall getting good experience thanks,Positive
"My two kids join Math Genie recently for reading lessons, from the first day they liked the class,  and the teacher Niralee. She put every effort to analyze the skill gaps and focused on the topics to improve in the areas they need improvements. I noticed good improvement the way they write essays, mainly the approach and content within 2 months. Very satisfied with the results so far.",two kids join math genie recently reading lessons first day liked class teacher niralee put every effort analyze skill gaps focused topics improve areas need improvements noticed good improvement way write essays mainly approach content within 2 months satisfied results far,Positive
My son is going since 2 months. I m satisfied with his progress. His reading teacher is very nice. She is so friendly and motivated. I recommend math genie to everyone.,son going since 2 months satisfied progress reading teacher nice friendly motivated recommend math genie everyone,Positive
My oldest daughter is 11 and she started this program late compared to other children coming in at 5-6 years of age.  She has significantly improved with her basic math concepts that she was not grasping in school. It has only been 3 months! Her willingness to apply herself and not fight with me to get her homework done has made me proud and I am thankful for the employees at Math Genie and the concepts they teach. I’m confident that she will start middle school on the right foot.,oldest daughter 11 started program late compared children coming years age significantly improved basic math concepts grasping school 3 months willingness apply fight get homework done made proud thankful employees math genie concepts teach confident start middle school right foot,Positive
"I like the individual attention provided by teachers in Math Genie, which was the reason for preferring Math Genie over other similar institutions.",like individual attention provided teachers math genie reason preferring math genie similar institutions,Positive
"We were very impressed by the curriculum that Math Genie offered. Unlike competitors this program enables a child to learn and hone their math problem solving skills in a logical manner instead of repetitive techniques. Wonderful program and teachers!
Math Genie student success stories range from winning Math Bee competitions to getting accepted into Double Advance Math Programs and these are just couple of shining examples from many more to mention.
My 7 year old looks forward to the class every week.
Thanks to Ms.Niralee to have instilled that passion of Math in him, she has made a lasting impression as an excellent teacher and role model. We are already seeing a tremendous change in the way he is approaching numbers and handling mathematical operations. Highly recommended.
Look forward to their Code Genie programs!",impressed curriculum math genie offered unlike competitors program enables child learn hone math problem solving skills logical manner instead repetitive techniques wonderful program teachers math genie student success stories range winning math bee competitions getting accepted double advance math programs couple shining examples many mention 7 year old looks forward class every week thanks instilled passion math made lasting impression excellent teacher role model already seeing tremendous change way approaching numbers handling mathematical operations highly recommended look forward code genie programs,Positive
